"qg","N","w1","w2","w3","w4","prob"
"i just need to",9,"i","just","need","to",3.85182623641482e-06
"i just saw a",5,"i","just","saw","a",2.1399034646749e-06
"i just want to",38,"i","just","want","to",1.62632663315293e-05
"i just want you",6,"i","just","want","you",2.56788415760988e-06
"i just wanted to",14,"i","just","wanted","to",5.99172970108972e-06
"i just woke up",7,"i","just","woke","up",2.99586485054486e-06
"i knew i had",6,"i","knew","i","had",2.56788415760988e-06
"i knew i was",6,"i","knew","i","was",2.56788415760988e-06
"i knew it was",14,"i","knew","it","was",5.99172970108972e-06
"i knew what i",5,"i","knew","what","i",2.1399034646749e-06
"i know how it",5,"i","know","how","it",2.1399034646749e-06
"i know i am",8,"i","know","i","am",3.42384554347984e-06
"i know i know",10,"i","know","i","know",4.2798069293498e-06
"i know i need",6,"i","know","i","need",2.56788415760988e-06
"i know i will",5,"i","know","i","will",2.1399034646749e-06
"i know is that",6,"i","know","is","that",2.56788415760988e-06
"i know ive been",5,"i","know","ive","been",2.1399034646749e-06
"i know right i",6,"i","know","right","i",2.56788415760988e-06
"i know the feeling",10,"i","know","the","feeling",4.2798069293498e-06
"i know we are",5,"i","know","we","are",2.1399034646749e-06
"i know what i",5,"i","know","what","i",2.1399034646749e-06
"i know what you",7,"i","know","what","you",2.99586485054486e-06
"i know you are",6,"i","know","you","are",2.56788415760988e-06
"i know you can",9,"i","know","you","can",3.85182623641482e-06
"i learned a lot",9,"i","learned","a","lot",3.85182623641482e-06
"i like the way",6,"i","like","the","way",2.56788415760988e-06
"i like to think",6,"i","like","to","think",2.56788415760988e-06
"i live in a",6,"i","live","in","a",2.56788415760988e-06
"i ll have to",7,"i","ll","have","to",2.99586485054486e-06
"i ll tell you",5,"i","ll","tell","you",2.1399034646749e-06
"i look at it",5,"i","look","at","it",2.1399034646749e-06
"i look at my",5,"i","look","at","my",2.1399034646749e-06
"i look at the",7,"i","look","at","the",2.99586485054486e-06
"i look forward to",34,"i","look","forward","to",1.45513435597893e-05
"i love her i",9,"i","love","her","i",3.85182623641482e-06
"i love it i",6,"i","love","it","i",2.56788415760988e-06
"i love it when",12,"i","love","it","when",5.13576831521976e-06
"i love love love",5,"i","love","love","love",2.1399034646749e-06
"i love you all",5,"i","love","you","all",2.1399034646749e-06
"i love you and",11,"i","love","you","and",4.70778762228478e-06
"i love you but",6,"i","love","you","but",2.56788415760988e-06
"i love you i",6,"i","love","you","i",2.56788415760988e-06
"i love you so",22,"i","love","you","so",9.41557524456957e-06
"i love you the",5,"i","love","you","the",2.1399034646749e-06
"i love you too",7,"i","love","you","too",2.99586485054486e-06
"i made it to",7,"i","made","it","to",2.99586485054486e-06
"i managed to get",6,"i","managed","to","get",2.56788415760988e-06
"i may have to",5,"i","may","have","to",2.1399034646749e-06
"i may not have",5,"i","may","not","have",2.1399034646749e-06
"i might as well",5,"i","might","as","well",2.1399034646749e-06
"i might have to",5,"i","might","have","to",2.1399034646749e-06
"i miss the way",5,"i","miss","the","way",2.1399034646749e-06
"i miss you so",6,"i","miss","you","so",2.56788415760988e-06
"i miss you too",13,"i","miss","you","too",5.56374900815474e-06
"i need a new",6,"i","need","a","new",2.56788415760988e-06
"i need more followers",8,"i","need","more","followers",3.42384554347984e-06
"i need to be",14,"i","need","to","be",5.99172970108972e-06
"i need to do",14,"i","need","to","do",5.99172970108972e-06
"i need to find",8,"i","need","to","find",3.42384554347984e-06
"i need to finish",5,"i","need","to","finish",2.1399034646749e-06
"i need to get",28,"i","need","to","get",1.19834594021794e-05
"i need to go",18,"i","need","to","go",7.70365247282965e-06
"i need to learn",6,"i","need","to","learn",2.56788415760988e-06
"i need to make",5,"i","need","to","make",2.1399034646749e-06
"i need to start",8,"i","need","to","start",3.42384554347984e-06
"i need to stop",5,"i","need","to","stop",2.1399034646749e-06
"i need to take",7,"i","need","to","take",2.99586485054486e-06
"i need to work",7,"i","need","to","work",2.99586485054486e-06
"i need to write",5,"i","need","to","write",2.1399034646749e-06
"i never would have",7,"i","never","would","have",2.99586485054486e-06
"i picked it up",6,"i","picked","it","up",2.56788415760988e-06
"i realized that i",8,"i","realized","that","i",3.42384554347984e-06
"i really appreciate it",5,"i","really","appreciate","it",2.1399034646749e-06
"i really dont know",7,"i","really","dont","know",2.99586485054486e-06
"i really dont want",7,"i","really","dont","want",2.99586485054486e-06
"i really enjoyed it",5,"i","really","enjoyed","it",2.1399034646749e-06
"i really like the",5,"i","really","like","the",2.1399034646749e-06
"i really like this",6,"i","really","like","this",2.56788415760988e-06
"i really liked the",5,"i","really","liked","the",2.1399034646749e-06
"i really need to",18,"i","really","need","to",7.70365247282965e-06
"i really want to",15,"i","really","want","to",6.4197103940247e-06
"i really wanted to",7,"i","really","wanted","to",2.99586485054486e-06
"i really wish i",6,"i","really","wish","i",2.56788415760988e-06
"i received an email",5,"i","received","an","email",2.1399034646749e-06
"i seem to have",6,"i","seem","to","have",2.56788415760988e-06
"i should have been",5,"i","should","have","been",2.1399034646749e-06
"i spent a lot",5,"i","spent","a","lot",2.1399034646749e-06
"i started this blog",5,"i","started","this","blog",2.1399034646749e-06
"i still cant believe",6,"i","still","cant","believe",2.56788415760988e-06
"i still have a",7,"i","still","have","a",2.99586485054486e-06
"i still need to",7,"i","still","need","to",2.99586485054486e-06
"i still want to",5,"i","still","want","to",2.1399034646749e-06
"i thank you for",10,"i","thank","you","for",4.2798069293498e-06
"i the only one",6,"i","the","only","one",2.56788415760988e-06
"i think i am",8,"i","think","i","am",3.42384554347984e-06
"i think i can",10,"i","think","i","can",4.2798069293498e-06
"i think i did",6,"i","think","i","did",2.56788415760988e-06
"i think i have",12,"i","think","i","have",5.13576831521976e-06
"i think i just",6,"i","think","i","just",2.56788415760988e-06
"i think i like",6,"i","think","i","like",2.56788415760988e-06
"i think i may",7,"i","think","i","may",2.99586485054486e-06
"i think i might",7,"i","think","i","might",2.99586485054486e-06
"i think i need",10,"i","think","i","need",4.2798069293498e-06
"i think i will",6,"i","think","i","will",2.56788415760988e-06
"i think i would",11,"i","think","i","would",4.70778762228478e-06
"i think im going",12,"i","think","im","going",5.13576831521976e-06
"i think im gonna",6,"i","think","im","gonna",2.56788415760988e-06
"i think it is",17,"i","think","it","is",7.27567177989467e-06
"i think it may",5,"i","think","it","may",2.1399034646749e-06
"i think it was",16,"i","think","it","was",6.84769108695968e-06
"i think it will",5,"i","think","it","will",2.1399034646749e-06
"i think it would",8,"i","think","it","would",3.42384554347984e-06
"i think its just",5,"i","think","its","just",2.1399034646749e-06
"i think its the",5,"i","think","its","the",2.1399034646749e-06
"i think its time",6,"i","think","its","time",2.56788415760988e-06
"i think part of",6,"i","think","part","of",2.56788415760988e-06
"i think that is",5,"i","think","that","is",2.1399034646749e-06
"i think that it",5,"i","think","that","it",2.1399034646749e-06
"i think that the",6,"i","think","that","the",2.56788415760988e-06
"i think there are",5,"i","think","there","are",2.1399034646749e-06
"i think there is",6,"i","think","there","is",2.56788415760988e-06
"i think they are",9,"i","think","they","are",3.85182623641482e-06
"i think this is",11,"i","think","this","is",4.70778762228478e-06
"i think we have",5,"i","think","we","have",2.1399034646749e-06
"i think you are",5,"i","think","you","are",2.1399034646749e-06
"i think you can",6,"i","think","you","can",2.56788415760988e-06
"i thought he was",7,"i","thought","he","was",2.99586485054486e-06
"i thought i had",5,"i","thought","i","had",2.1399034646749e-06
"i thought i was",14,"i","thought","i","was",5.99172970108972e-06
"i thought i would",14,"i","thought","i","would",5.99172970108972e-06
"i thought it was",32,"i","thought","it","was",1.36953821739194e-05
"i thought it would",13,"i","thought","it","would",5.56374900815474e-06
"i thought that was",9,"i","thought","that","was",3.85182623641482e-06
"i thought we were",6,"i","thought","we","were",2.56788415760988e-06
"i thought you were",6,"i","thought","you","were",2.56788415760988e-06
"i told her that",6,"i","told","her","that",2.56788415760988e-06
"i try not to",7,"i","try","not","to",2.99586485054486e-06
"i try to be",5,"i","try","to","be",2.1399034646749e-06
"i used to be",10,"i","used","to","be",4.2798069293498e-06
"i used to have",9,"i","used","to","have",3.85182623641482e-06
"i ve never been",7,"i","ve","never","been",2.99586485054486e-06
"i wanna go to",6,"i","wanna","go","to",2.56788415760988e-06
"i want it to",7,"i","want","it","to",2.99586485054486e-06
"i want to be",36,"i","want","to","be",1.54073049456593e-05
"i want to do",23,"i","want","to","do",9.84355593750455e-06
"i want to get",7,"i","want","to","get",2.99586485054486e-06
"i want to go",26,"i","want","to","go",1.11274980163095e-05
"i want to have",6,"i","want","to","have",2.56788415760988e-06
"i want to hear",5,"i","want","to","hear",2.1399034646749e-06
"i want to know",9,"i","want","to","know",3.85182623641482e-06
"i want to make",13,"i","want","to","make",5.56374900815474e-06
"i want to play",5,"i","want","to","play",2.1399034646749e-06
"i want to read",5,"i","want","to","read",2.1399034646749e-06
"i want to say",7,"i","want","to","say",2.99586485054486e-06
"i want to see",14,"i","want","to","see",5.99172970108972e-06
"i want to share",5,"i","want","to","share",2.1399034646749e-06
"i want to take",7,"i","want","to","take",2.99586485054486e-06
"i want to talk",6,"i","want","to","talk",2.56788415760988e-06
"i want to thank",7,"i","want","to","thank",2.99586485054486e-06
"i want to try",9,"i","want","to","try",3.85182623641482e-06
"i want to watch",6,"i","want","to","watch",2.56788415760988e-06
"i want you to",13,"i","want","you","to",5.56374900815474e-06
"i wanted to be",7,"i","wanted","to","be",2.99586485054486e-06
"i wanted to do",11,"i","wanted","to","do",4.70778762228478e-06
"i wanted to get",7,"i","wanted","to","get",2.99586485054486e-06
"i wanted to go",9,"i","wanted","to","go",3.85182623641482e-06
"i wanted to have",7,"i","wanted","to","have",2.99586485054486e-06
"i wanted to make",5,"i","wanted","to","make",2.1399034646749e-06
"i wanted to say",11,"i","wanted","to","say",4.70778762228478e-06
"i wanted to see",10,"i","wanted","to","see",4.2798069293498e-06
"i wanted to share",5,"i","wanted","to","share",2.1399034646749e-06
"i wanted to take",7,"i","wanted","to","take",2.99586485054486e-06
"i was a kid",6,"i","was","a","kid",2.56788415760988e-06
"i was a little",17,"i","was","a","little",7.27567177989467e-06
"i was able to",39,"i","was","able","to",1.66912470244642e-05
"i was about to",7,"i","was","about","to",2.99586485054486e-06
"i was at the",9,"i","was","at","the",3.85182623641482e-06
"i was going to",59,"i","was","going","to",2.52508608831638e-05
"i was having a",9,"i","was","having","a",3.85182623641482e-06
"i was in a",12,"i","was","in","a",5.13576831521976e-06
"i was in the",13,"i","was","in","the",5.56374900815474e-06
"i was looking for",9,"i","was","looking","for",3.85182623641482e-06
"i was pleased to",5,"i","was","pleased","to",2.1399034646749e-06
"i was ready to",6,"i","was","ready","to",2.56788415760988e-06
"i was so happy",6,"i","was","so","happy",2.56788415760988e-06
"i was supposed to",5,"i","was","supposed","to",2.1399034646749e-06
"i was thinking about",6,"i","was","thinking","about",2.56788415760988e-06
"i was trying to",18,"i","was","trying","to",7.70365247282965e-06
"i was waiting for",5,"i","was","waiting","for",2.1399034646749e-06
"i wasnt going to",6,"i","wasnt","going","to",2.56788415760988e-06
"i went back to",6,"i","went","back","to",2.56788415760988e-06
"i went through the",6,"i","went","through","the",2.56788415760988e-06
"i went to a",6,"i","went","to","a",2.56788415760988e-06
"i went to bed",5,"i","went","to","bed",2.1399034646749e-06
"i went to my",5,"i","went","to","my",2.1399034646749e-06
"i went to the",16,"i","went","to","the",6.84769108695968e-06
"i will be able",7,"i","will","be","able",2.99586485054486e-06
"i will be doing",5,"i","will","be","doing",2.1399034646749e-06
"i will be in",11,"i","will","be","in",4.70778762228478e-06
"i will be on",5,"i","will","be","on",2.1399034646749e-06
"i will continue to",5,"i","will","continue","to",2.1399034646749e-06
"i will have to",15,"i","will","have","to",6.4197103940247e-06
"i will let you",5,"i","will","let","you",2.1399034646749e-06
"i will not have",5,"i","will","not","have",2.1399034646749e-06
"i will see you",5,"i","will","see","you",2.1399034646749e-06
"i will tell you",12,"i","will","tell","you",5.13576831521976e-06
"i wish i could",40,"i","wish","i","could",1.71192277173992e-05
"i wish i didnt",5,"i","wish","i","didnt",2.1399034646749e-06
"i wish i had",24,"i","wish","i","had",1.02715366304395e-05
"i wish i was",20,"i","wish","i","was",8.55961385869961e-06
"i wish it was",6,"i","wish","it","was",2.56788415760988e-06
"i wish we could",5,"i","wish","we","could",2.1399034646749e-06
"i wish you were",5,"i","wish","you","were",2.1399034646749e-06
"i wonder if the",5,"i","wonder","if","the",2.1399034646749e-06
"i wont be able",7,"i","wont","be","able",2.99586485054486e-06
"i would be the",5,"i","would","be","the",2.1399034646749e-06
"i would do the",6,"i","would","do","the",2.56788415760988e-06
"i would have been",10,"i","would","have","been",4.2798069293498e-06
"i would have to",14,"i","would","have","to",5.99172970108972e-06
"i would like to",52,"i","would","like","to",2.2254996032619e-05
"i would love it",7,"i","would","love","it",2.99586485054486e-06
"i would love to",54,"i","would","love","to",2.31109574184889e-05
